Artist,Title,Medium,Medium_classified,Acquistion_classified,Year_acquisition,Gender_classified,Artist_birth_year,Artist_death_year,Country_calculated,Date_creation_year
,La hora de los hornos. 1º Parte: Neocolonialismo y violencia (The Hour of the Furnaces. Part #1: Neocolonialism and Violence),,,,,,,,,1966
,Des armes pour l’Espagne antifasciste (Weapons for Anti-Fascist Spain),,,,2012,,,,,1937
,La torre de los siete jorobados (The Tower of the Seven Hunchbacks),,,,,,,,,1944
,Sans titre (Paris: boulevard de la Gare) (Untitled [Paris: boulevard de la Gare]),,,,2015,,,,,1956
,Agrafage (Stapling),,,,2015,,,,,1961
,Principle of Detachment: New York Reading,,,,2011,,,,,1972
APA (Feliu Elias i Bracons),Concours Préparatoires... Exposition Internationale de la Technique du Bâtiment... Parc de Montjuich (Preparatory Competitions… The International Exhibition of Construction Technology... Montjuic Park),,,,2019,,1878,1948,,1923
Antoni Abad,Sísifo (Sisyphus),,,,1998,,1956,,,1995
Francesc Abad,Accions. Treball sobre els quatre elements 1 (Actions. Work on the Four Elements 1),,,,2009,,1944,,,1972
Francesc Abad,Accions. Treball sobre els quatre elements 2 (Actions. Work on the Four Elements 2),,,,2009,,1944,,,1972
Francesc Abad,"Aire. Acción, cuadrado en el suelo con hojas y destrucción de ese cuadrado por la acción del viento (Air. Action, Square on the Ground with Leaves and Destruction of the Square Due to the Action of the Wind)",,,,2009,,1944,,,1972
Francesc Abad,Procés transformació (Transformation Process),,,,2009,,1944,,,1972
Francesc Abad,"Peça-forma. Tint-1, Banyoles (Piece-Form. Tint-1, Banyoles)",,,,2009,,1944,,,1973
Francesc Abad,Peça-acció 1. Institut industrial de Terrassa (Piece-Action 1. Industrial Institute of Terrassa),,,,2009,,1944,,,1973
Francesc Abad,Peça-acció 2. Institut industrial de Terrassa (Piece-Action 2. Industrial Institute of Terrassa),,,,2009,,1944,,,1973
Francesc Abad,Terrassa. Informació d'Art (Terrassa. Information of Art),,,,2009,,1944,,,1973
Francesc Abad,Medició circular (Roundness Measuring),,,,2009,,1944,,,1973
Francesc Abad,Homenatge a l'home del carrer (Homage to the Man in the Street),,,,2012,,1944,,,1976
Magdalena Abakanowicz,Thirty Backwards Standing Figures,,,,1997,,1930,2017,,1993
Ignasi Aballí,Mirades (Gazes),,,,2016,,1958,,,1994
Ignasi Aballí,Biblioteca II (Library II),,,,2002,,1958,,,2002
Ignasi Aballí,Inmigrantes II (Inmigrants II),,,,2007,,1958,,,2007
Ignasi Aballí,Sin papeles (Undocumented),,,,2007,,1958,,,2007
Ignasi Aballí,Personas IV (People IV),,,,2007,,1958,,,2007
Ignasi Aballí,Viviendas I (Housing I),,,,2007,,1958,,,2007
Ignasi Aballí,Reflexión (Passion),,,,2009,,1958,,,2009
